Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
1.87e+22,1578.18,26.7692,67.9122,58.9552,1
1.88e+22,2092.51,17.9092,68.4126,116.84,1
1.9e+22,2304.8,16.2566,65.5679,141.776,1
1.9e+22,1486.01,22.6711,67.047,65.5464,1
1.91e+22,1523.1,24.3899,68.0838,62.4478,1
1.9e+22,2601.73,18.9776,65.6615,137.095,0
1.92e+22,2579.26,21.6971,65.8314,118.876,0
1.96e+22,1851.1,18.5244,69.7078,99.9275,0
1.94e+22,1841.59,16.3071,72.6765,112.932,0
1.95e+22,1962.13,13.1832,70.0702,148.836,0
1.94e+22,1833.44,16.9727,70.1228,108.023,0
1.95e+22,2293.8,16.9969,69.6148,134.954,0
1.97e+22,2448.4,25.7483,71.1753,95.0897,0
2.01e+22,1884.23,21.4239,69.4481,87.95,0
2.06e+22,1239.75,48.8364,65.5988,25.3857,0
2.09e+22,1531.55,22.2244,59.6052,68.9132,0
2.16e+22,1568.87,56.6027,57.093,27.7173,0
2.23e+22,1715.08,53.7274,56.523,31.9218,0
2.28e+22,2821.68,49.6792,57.8066,56.798,0
2.3e+22,1949.41,46.3955,54.5443,42.0173,0
2.39e+22,2937.62,56.0932,56.2698,52.3703,0
2.47e+22,2078.79,51.9865,53.4657,39.9871,0
2.58e+22,3073.9,37.0543,52.3178,82.9567,0
2.68e+22,2528.05,51.7271,47.215,48.8729,0
2.74e+22,2675.07,61.4917,50.9581,43.503,0
2.79e+22,2888.66,51.4246,49.6804,56.1727,0
2.84e+22,3462.96,26.8501,51.9181,128.974,0
2.92e+22,2616.33,43.467,51.4364,60.1911,0
3.04e+22,4378.33,32.4222,50.2027,135.041,0
3.03e+22,3088.31,55.6665,49.5618,55.4788,0
3.05e+22,3443.55,32.8708,48.6701,104.76,0
3.08e+22,2296.19,43.5241,45.1224,52.7568,0
3.1e+22,2918.24,34.1937,45.2145,85.3444,0
3.14e+22,3017.2,32.6469,48.228,92.4191,0
3.14e+22,2828.08,27.6093,45.5612,102.432,0
3.16e+22,2919.31,29.0977,45.9461,100.328,0
3.15e+22,3357.3,19.97,47.8148,168.11700000000005,0
3.1e+22,3156.27,27.2581,49.8663,115.792,0
3.1e+22,3285.43,18.3077,48.4492,179.456,0
3.07e+22,3284.84,16.2966,49.9419,201.566,0
3.04e+22,3594.04,28.0714,49.0896,128.032,0
3.01e+22,3363.97,22.4738,46.8466,149.684,0
2.98e+22,3866.54,19.1324,46.4827,202.094,0
2.94e+22,2645.14,15.6155,48.8228,169.392,0
2.91e+22,3057.78,17.2416,51.9416,177.34900000000005,0
2.9e+22,3502.43,18.7852,54.0488,186.446,0
2.89e+22,3854.49,19.8221,50.7407,194.454,0
2.87e+22,3602.54,19.7125,54.2025,182.754,0
2.85e+22,3676.15,22.0344,55.8479,166.83700000000005,0
2.83e+22,3761.44,18.5642,56.0514,202.618,0
2.81e+22,3758.64,20.1156,56.6674,186.852,0
2.8e+22,4311.15,20.77,59.0374,207.566,0
2.81e+22,4173.69,26.1578,62.6911,159.558,0
2.78e+22,4083.7,26.2073,62.3204,155.82299999999995,0
2.74e+22,3254.29,18.2492,63.374,178.325,0
2.72e+22,3665.91,21.2663,65.9245,172.38099999999997,0
2.69e+22,3894.71,22.4497,67.77199999999999,173.486,0
2.68e+22,4588.76,24.0101,69.462,191.118,0
2.63e+22,4513.53,21.0096,66.6305,214.832,0
2.62e+22,4011.2,22.3413,67.7478,179.542,0
2.6e+22,3525.71,29.8693,66.7201,118.038,0
2.53e+22,3087.15,27.340999999999998,67.9843,112.913,0
2.52e+22,2753.22,21.426,69.4559,128.499,0
