Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
2.49e+22,3848.46,20.6259,36.1523,186.584,0
2.46e+22,3853.68,22.699,34.3525,169.773,0
5.89e+22,21875.6,44.9802,82.9117,486.339,0
2.41e+22,2962.65,19.0078,31.3857,155.865,0
2.39e+22,2603.8,20.5585,31.1818,126.653,0
2.39e+22,3131.52,24.5121,31.4442,127.754,0
2.41e+22,3383.57,26.7512,31.105,126.483,0
2.41e+22,3090.68,22.5571,30.7329,137.016,0
2.41e+22,3395.07,28.2666,31.794,120.109,0
2.46e+22,3369.63,34.4997,31.0806,97.6714,0
2.52e+22,3664.48,33.637,30.4797,108.942,0
2.58e+22,4446.44,35.0326,30.42,126.923,0
2.62e+22,3816.18,25.0182,28.0152,152.536,0
2.63e+22,3820.44,33.6454,28.6041,113.55,0
2.61e+22,3834.38,18.0422,30.1313,212.523,0
2.58e+22,3833.43,20.2929,30.4873,188.905,0
2.58e+22,2650.51,17.9382,30.6149,147.75799999999995,0
2.58e+22,2556.53,19.1028,31.2945,133.83,0
2.58e+22,3116.03,20.6691,30.0847,150.75799999999995,0
2.6e+22,2897.91,19.8513,30.6162,145.981,0
2.55e+22,2883.8,20.3315,29.188,141.839,0
2.57e+22,2256.81,25.3118,31.3361,89.1602,0
2.56e+22,2306.7,28.004,30.1482,82.3703,0
2.51e+22,2033.88,27.218000000000004,28.8608,74.7255,0
2.51e+22,2466.38,28.6223,28.16,86.1698,0
2.5e+22,1840.72,23.4313,29.4081,78.5582,0
2.52e+22,2170.12,27.5353,28.8663,78.8123,0
2.53e+22,3553.62,23.1996,31.0775,153.17600000000004,0
2.5e+22,2491.67,18.7637,30.5169,132.792,0
2.48e+22,2298.44,18.6757,30.0834,123.071,0
2.45e+22,1054.28,14.2736,28.6649,73.862,0
2.35e+22,1669.17,22.7366,30.3115,73.4134,0
2.26e+22,1299.68,9.2826,34.9795,140.013,0
2.28e+22,1358.16,13.7187,35.6389,99.0009,0
2.29e+22,1776.17,16.0274,34.4272,110.821,0
2.26e+22,1044.88,20.8706,34.1356,50.0645,0
2.26e+22,868.2339999999998,24.5104,32.7641,35.4231,0
2.22e+22,1591.09,24.5718,31.7517,64.7526,0
2.16e+22,1796.01,21.541,32.975,83.3763,0
2.12e+22,1694.08,26.5351,31.8346,63.8431,0
2.13e+22,1691.94,22.6764,35.2379,74.6122,0
4.81e+21,57.965,33.844,314.587,7.60146,0
5.15e+21,72.0598,13.7127,240.856,14.479,0
5.13e+21,67.3,11.0836,235.909,14.2919,0
5.13e+21,54.831,7.44045,249.642,11.6379,0
5.08e+21,67.5023,7.65077,269.833,10.3814,0
4.95e+21,37.5714,4.3365,272.08,10.2471,0
4.97e+21,78.4512,4.16961,281.741,11.6586,0
4.93e+21,75.6195,4.7733,279.958,12.2517,0
4.95e+21,116.326,7.62551,295.952,9.02157,0
5.02e+21,95.7968,4.97685,299.274,9.89015,0
5.05e+21,77.0696,4.70896,298.563,13.1405,0
5.02e+21,122.863,4.7114199999999995,342.552,11.859000000000002,0
4.93e+21,70.5988,6.50223,360.55800000000005,7.927939999999999,0
4.96e+21,70.9972,3.6665400000000004,365.11800000000005,10.0702,0
